"Data Import Template"
"Table:","Item"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Item","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","~","UOM Conversion Detail","uoms","","","","~","Item Barcode","barcodes","","","","","~","Item Reorder","reorder_levels","","","","","","","~","Item Variant Attribute","attributes","","","","","","","","","","~","Item Default","item_defaults","","","","","","","","","","","","","","~","Item Supplier","supplier_items","","","","~","Item Customer Detail","customer_items","","","","","~","Item Tax","taxes","","","","","",""
"Column Labels:","ID","Item Code","Item Group","Default Unit of Measure","Created On","Created By","Item Name","Spec Sheet","Duty","VAT","Disabled","Allow Alternative Item","warranty","Maintain Stock","Has Variants","Opening Stock","Valuation Rate","Standard Selling Rate","Is Fixed Asset","Auto Create Assets on Purchase","Create Grouped Asset","Asset Category","Asset Naming Series","Over Delivery/Receipt Allowance (%)","Over Billing Allowance (%)","Description","Brand","Shelf Life In Days","End of Life","Default Material Request Type","Valuation Method","Warranty Period (in days)","Weight Per Unit","Weight UOM","Allow Negative Stock","Has Batch No","Automatically Create New Batch","Batch Number Series","Has Expiry Date","Retain Sample","Max Sample Quantity","Has Serial No","Serial Number Series","Variant Of","Variant Based On","Enable Deferred Expense","No of Months (Expense)","Enable Deferred Revenue","No of Months (Revenue)","Default Purchase Unit of Measure","Minimum Order Qty","Safety Stock","Allow Purchase","Lead Time in days","Last Purchase Rate","Is Customer Provided Item","Customer","Delivered by Supplier (Drop Ship)","Country of Origin","Customs Tariff Number","Default Sales Unit of Measure","Grant Commission","Allow Sales","Max Discount (%)","Inspection Required before Purchase","Quality Inspection Template","Inspection Required before Delivery","Include Item In Manufacturing","Supply Raw Materials for Purchase","Default BOM","Default Item Manufacturer","Default Manufacturer Part No","","ID","Created On","Created By","UOM","Conversion Factor","","ID","Barcode","Created On","Created By","Barcode Type","UOM","","ID","Request for","Material Request Type","Created On","Created By","Check in (group)","Re-order Level","Re-order Qty","","ID","Attribute","Created On","Created By","Variant Of","Attribute Value","Numeric Values","Disabled","From Range","Increment","To Range","","ID","Company","Created On","Created By","Default Warehouse","Default Price List","Default Discount Account","Default Buying Cost Center","Default Supplier","Default Expense Account","Default Provisional Account","Default Selling Cost Center","Default Income Account","Deferred Expense Account","Deferred Revenue Account","","ID","Supplier","Created On","Created By","Supplier Part Number","","ID","Ref Code","Created On","Created By","Customer Name","Customer Group","","ID","Item Tax Template","Created On","Created By","Tax Category","Valid From","Minimum Net Rate","Maximum Net Rate"
"","""S570B""","S570B","SSL","Nos","2025-05-08 10:39:44.695524","Administrator","Bobcat S570B HF","/files/S510-S530-S550-S570-S590-T590_EN.pdf",0,0,0,0,"",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>Engine: Kubota, Lifting boom: Vertical, Lift, 885Kg, Operating weight: 2650Kg,Open Cab, No Aircon, High Flow</p></div>","Bobcat",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""veq4ubj11f""","2025-05-08 10:39:44.707124","Administrator","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""fjhqt6a43v""","Machinery Exchange","2025-05-08 10:39:44.707781","Administrator","Finished Goods - ME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""qur2f1om1b""","2025-05-30 16:10:10.358253","takunda@industrial-exchange.group","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""S570B HF""","S570B HF","SSL","Nos","2025-05-08 10:39:44.720863","Administrator","S570B HF","",0,0,0,0,"",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"S570B HF","",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""5v9rs1tb34""","2025-05-08 10:39:44.738325","Administrator","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""heoa2i9t18""","Sinopower","2025-05-08 10:39:44.739094","Administrator","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""S590B""","S590B","SSL","Unit","2025-05-08 10:39:44.751313","Administrator","Bobcat S590B","/files/S510-S530-S550-S570-S590-T590_EN.pdf",0,0,0,0,"",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>Engine: Kubota / V2607-DI-T-E3B-BC-1, Operating weight: 953 kg, Tipping Load: 1905kg, Net Power: 49.2kW, Open cab no aircon</p></div>","Bobcat",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""qsucdng8rs""","2025-05-30 16:13:58.018254","takunda@industrial-exchange.group","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""7r5gfb2ieg""","Machinery Exchange","2025-05-08 10:39:44.763065","Administrator","Finished Goods - ME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""S590B HF EC""","S590B HF EC","SSL","Nos","2025-05-08 10:39:44.775895","Administrator","S590B HF EC","",0,0,0,0,"",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"S590B HF EC","",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""e12ts3uhg3""","2025-05-08 10:39:44.786342","Administrator","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""mmtbg664sq""","Sinopower","2025-05-08 10:39:44.786983","Administrator","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""S650B HF""","S650B HF","SSL","Unit","2025-05-08 10:39:44.799712","Administrator","Bobcat S650B HF","/files/S650.pdf",0,0,0,0,"3000 hours or 2 years full warranty.",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>Engine: Kubota, Tipping load:2`500 kg, Operating weight: 3`777Kg, Open cab No Aircon, High Flow</p></div>","Bobcat",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""du7vpk7f9n""","2025-05-29 12:57:40.174182","takunda@industrial-exchange.group","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""patt7bqckj""","Machinery Exchange","2025-05-08 10:39:44.812404","Administrator","Finished Goods - ME","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""S650B HF EC""","S650B HF EC","SSL","Unit","2025-05-08 10:39:44.823359","Administrator","Bobcat S650B HF EC","/files/S650.pdf",0,0,0,0,"3000 Hours or 2 Years Full Warranty",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p><strong>Engine</strong>: Kubota, <strong>Tipping load</strong>:2`500 kg,<strong> Operating Weight</strong>: 3`777Kg,<strong> Enclosed Cab</strong>, AC, High Flow</p></div>","Bobcat",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""l900omentq""","2025-05-29 09:28:50.623317","takunda@industrial-exchange.group","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""00319177ph""","Machinery Exchange","2025-05-08 10:39:44.833566","Administrator","Finished Goods - ME","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""5oqf3qb4n5""","Sinopower","2025-10-08 14:10:36.794940","rental@machinery-exchange.com","","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""S770B T3""","S770B T3","Skidsteer","Unit","2025-05-08 10:39:44.848055","Administrator","Bobcat S770B T3","",0,0,0,0,"2000 hours or 1 year full warranty.",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>Kubota Engine, Horsepower. 92 hp ; Rated Operating Capacity (ISO). 3,350 lb ; Operating <em>Weight</em>. 9314 lb ; Auxiliary Std Flow. 23 gal/min .</p></div>","Bobcat",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""a5jc353nfj""","2025-05-30 08:07:23.650063","takunda@industrial-exchange.group","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""pdmn20ugsk""","Machinery Exchange","2025-05-08 10:39:44.863016","Administrator","Finished Goods - ME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""S800""","S800","Paver","Nos","2025-05-08 10:39:44.875848","Administrator","S800","",0,0,0,0,"",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"S800","",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""r7lojl820d""","2025-05-08 10:39:44.894071","Administrator","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""fjtnp9rj9f""","Sinopower","2025-05-08 10:39:44.894918","Administrator","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""S850B HF""","S850B HF","SSL","Nos","2025-05-08 10:39:44.909687","Administrator","S850B HF","",0,0,0,0,"",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"S850B HF","",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""ab3kemp6vq""","2025-05-08 10:39:44.924805","Administrator","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""gf0p3tv5vo""","Sinopower","2025-05-08 10:39:44.925424","Administrator","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""S850HF EC""","S850HF EC","SSL","Nos","2025-05-08 10:39:44.937867","Administrator","S850HF EC","",0,0,0,0,"",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"S850HF EC","",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""mll33ageef""","2025-05-08 10:39:44.949772","Administrator","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""p794su2e71""","Sinopower","2025-05-08 10:39:44.950293","Administrator","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""Screed Extension Set""","Screed Extension Set","Attachments","Nos","2025-07-02 16:32:18.521955","rental@machinery-exchange.com","Screed Extension Set","",0,0,0,0,"1000 hour or 1 year full warranty",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>Vogele S1603 Extension Set</p></div>","Wirtgen",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""4cddt9argi""","2025-07-02 16:32:18.557510","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""h25k056hka""","Sinopower","2025-07-02 16:32:18.561740","rental@machinery-exchange.com","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""SD13""","SD13","Dozer","Nos","2025-06-26 16:53:20.432420","rental@machinery-exchange.com","SD13","/files/SD13.pdf",0,0,0,0,"2000 hours or 1 year parts warranty",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p><strong>SD13 Shantui Dozer</strong></p><p>SHANGCHAI SC8D143G2B1/ DONGFENG CUMMINS 6CTA8.3-C145 Engine 105/108KW , Cabin,A/C, Stright-tilt Blade, 460mm track shoes,3-shank ripper. </p></div>","",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""hd7mr3nhpn""","2025-06-26 16:53:20.465169","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""dah1elq8j0""","Sinopower","2025-06-26 16:53:20.466169","rental@machinery-exchange.com","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""4n8u3dj0il""","Machinery Exchange","2026-06-12 14:07:43.737517","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""SD16""","SD16","Dozer","Unit","2025-05-08 10:39:44.962043","Administrator","Shantui SD16","/files/SD16 - Weichai Engine.pdf",0,0,0,0,"",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>Shangchai SC11CB184G2B1 Engine,510mm Track plate,Straight Blade,Standard Cabin,Enlarge gilled tube Radiator,A/C,Track roller guard,Three Shank Ripper</p></div>","Shantui",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""kad374p8hc""","2025-05-30 11:56:38.004602","takunda@industrial-exchange.group","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""o91h9k7e6i""","Machinery Exchange","2025-05-08 10:39:44.979894","Administrator","Finished Goods - ME","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""82li6ass19""","Sinopower","2025-07-01 09:27:17.732430","rental@machinery-exchange.com","","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""SD16F""","SD16F","Dozer","Unit","2025-05-08 10:39:44.993275","Administrator","Shantui SD16F","/files/SD16 - Weichai Engine.pdf",0,0,0,0,"",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>Shangchai SC11CB184G2B1 Engine,610mm Track plate,Angle Blade,Standard Cabin with Forest R.O.P.S.,Enlarge gilled tube Radiator,A/C,Track roller guard,Reserve hydraulic winch pipeline and control</p></div>","Shantui",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""hrvdbqiiof""","2025-05-30 12:27:52.795310","takunda@industrial-exchange.group","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nslj8mr9n7""","Machinery Exchange","2025-05-08 10:39:45.009571","Administrator","Finished Goods - ME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""qm0f2tfg4f""","Sinopower","2025-08-13 17:25:42.672604","rental@machinery-exchange.com","","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""SD16W""","SD16W","Dozer","Nos","2025-05-08 10:39:45.019558","Administrator","Shantui SD16W Dozer ","/files/SD16 - Weichai Engine.pdf",0,0,0,0,"Warranty is 2000 Hours or 1 Year",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p><strong>Weichai WD10G178E25 Engine</strong>,</p><p><strong>Gross power</strong>: 131KW (175HP) @1850rpm, 510mm Track plate, Straight tilt Blade, Standard Cabin, A/C, Three Shank Ripper, <strong>Operating weigh</strong>t:17000kgs,</p></div>","Shantui",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""aoa8uno95a""","2025-05-08 10:39:45.032341","Administrator","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""mkde71dbhi""","Machinery Exchange","2025-05-08 10:39:45.032814","Administrator","Finished Goods - ME","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""qpcs3fidib""","2025-05-29 09:55:43.911162","takunda@industrial-exchange.group","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""knafmjbo3h""","Sinopower","2025-09-22 12:20:35.725446","rental@machinery-exchange.com","","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""SD22""","SD22","Dozer","Unit","2025-05-08 10:39:45.052282","Administrator","Shantui SD22W","/files/SD22W Product Sheet 2012_email.pdf",0,0,0,0,"2000 Hours or 1 Year Parts Warranty.",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p><strong>Shantui SD22 Dozer</strong></p><p>Cummins NT855-C280S10 Engine,Standard Cabin,Enlarge Radiator,A/C,3-Stage filtter, Straight tilt Rock Blade,560mm Heavy track shoes</p></div>","Shantui",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""kbsqtg5tat""","2025-05-29 10:38:51.544757","takunda@industrial-exchange.group","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""3udpd5vl8r""","Machinery Exchange","2025-05-08 10:39:45.052282","takunda@industrial-exchange.group","Finished Goods - ME","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""msm9fj06fn""","Sinopower","2025-06-25 14:07:24.127679","rental@machinery-exchange.com","","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""SD22R""","SD22R","Dozer","Nos","2026-02-12 14:36:21.145784","rental@machinery-exchange.com","SD22R","/files/SD22R-CUMMINS.pdf",0,0,0,0,"2000 hours or 1 year parts warranty",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p><strong>Landfill Bulldozer</strong></p><p>Cummins NT855-C280S10 Engine, A/C, Waste handing Blade,910mm track shoes, track self-cleaning device,Centralized lubrication system,Rear Camera ,Operating Weight:26.0Ton</p></div>","Shantui",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""fp43e94mmd""","2026-02-12 14:36:21.170679","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""qbef9bkabr""","Sinopower","2026-02-12 14:36:21.171440","rental@machinery-exchange.com","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""2k29vns3ph""","Machinery Exchange","2026-02-12 14:36:53.609384","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""SD32""","SD32","Dozer","Unit","2025-05-08 10:39:45.083392","Administrator","Shantui SD32","/files/SD32W Product Sheet.pdf",0,0,0,0,"2000 hours or 1 year parts warranty.",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>Cummins NTA855-C360S10 Engine, Hexahedron cab,A/C,Enlarge Radiator,R.O.P.S.,Stright-tilt Blade,560mm track shoes, 3-Shank Ripper</p></div>","Shantui",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""ll9btuf7pp""","2025-05-29 13:34:39.519728","takunda@industrial-exchange.group","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""9sj1oml2id""","Machinery Exchange","2025-05-08 10:39:45.098580","Administrator","Finished Goods - ME","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""6vvn861re1""","Sinopower","2025-07-01 09:27:17.733784","rental@machinery-exchange.com","","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""SD34-C3""","SD34-C3","Dozer","Unit","2025-05-08 10:39:45.113271","Administrator","Shantui SD34-C3 RD Dozer","",0,0,0,0,"Parts Warranty is 2000 hours or 1 year.",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>WEICHAI WP12G350E303, 258kW(346hp) @2000, Straight Tilt Blade, Operating Weight 36t,ROPS,A/C, 1 Shrank ripper</p></div>","Shantui",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""6s5kjrga42""","2025-05-29 11:54:40.433089","takunda@industrial-exchange.group","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""c82v8as1ia""","Machinery Exchange","2025-05-08 10:39:45.129237","Administrator","Finished Goods - ME","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""0s7sp7dglg""","Sinopower","2025-07-09 08:37:35.165492","rental@machinery-exchange.com","","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""SD60-C5""","SD60-C5","Dozer","Nos","2025-05-08 10:39:45.146126","Administrator","Shantui SD60-C5 Dozer","/files/20210319-推土机SD60C5-英文.pdf",0,0,0,0,"Warranty is 2000 hours or 1 year.",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>Cummins QSK19 Engine, Gross Power: 450KW(604HP),Hexahedron cab with R.O.P.S.,A/C, Semi-U blade Blade, Single - shank Ripper ,610mm Lubricating track shoes,360°camera ,centralization lubrication. Operating Weight:74Ton</p></div>","Shantui",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""tieurbtpir""","2025-05-08 10:39:45.166635","Administrator","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""u42lbft2ev""","Machinery Exchange","2025-05-08 10:39:45.167487","Administrator","Finished Goods - ME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""lgmo7589ou""","2025-05-30 09:11:23.388411","takunda@industrial-exchange.group","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""SD90-C5""","SD90-C5","Dozer","Unit","2025-05-08 10:39:45.179470","Administrator","Shantui SD90-C5 Dozer","/files/SD90-C5.pdf",0,0,0,0," 2000 hours or 1 year parts warranty.",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>Cummins QST30 Engine, Gross Power: 708KW(950HP),Hexahedron cab with R.O.P.S.,A/C, Semi-U blade Blade, Single -shank Ripper ,710mm Lubricating track shoes,360°camera ,centralization lubrication.</p><p>Operating Weight:106Ton</p></div>","Shantui",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""0kk2nn7prm""","2025-05-30 08:13:43.735507","takunda@industrial-exchange.group","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n8b7n38tbj""","Machinery Exchange","2025-05-08 10:39:45.193557","Administrator","Finished Goods - ME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
